	no match	probability was too low
отказн.кн	Отказн.кн.	100
отказн.кн.южн	Отказн.кн.	95
отказн.кн.южновеликорус	Отказн.кн.южновеликорус.	100
отказн.кн.южновеликорус	Отказн.кн.южновеликорус.	100
отказной книги	no match	probability was too low
откр.авр	Откр.Авр.	100
откр.баруха	no match	probability was too low
откр.варуха	Откр.Варуха	100
откр.меф.пат	Откр.Меф.Пат.	100
откр.меф.пат	Откр.Меф.Пат.	100
откр.меф.пат	Откр.Меф.Пат.	100
отп	no match	probability was too low
отп.волкон	Отп.Волкон.	100
отп.мазепы	Отп.Мазепы	100
отп.пустоз.воев	Отп.Пустоз.воев.	100
отп.ртищева	Отп.Ртищева	100
отп.из холмог	no match	probability was too low
отп.ртищева	Отп.Ртищева	100
отписн.гр.долгор	Отписн.гр.Долгор.	100
отписн.гр.хилк	Отписн.гр.Хилк.	100
отр.был	Отр.был.	100
отр.посл	Отр.посл.	100
отр.рус.лет	Отр.рус.лет.	100
отр.стар, оп	Отр.стар.оп.	96
отр.стар	Отр.стар.оп.	95
отр.стар.он	no match	probability was too low
отр.стар.оп	Отр.стар.оп.	100
отр.посл	Отр.посл.	100
отразит, пис	Отразит.пис.	96
отразит.пис	Отразит.пис.	100
отразит.пис	Отразит.пис.	100
п.отреч	П.отреч. I	95
п.отреч	П.отреч. I	95
п.старообр	П.старообр.	100
п.отреч	П.отреч. I	95
піестоднев ио.екз.1	no match	probability was too low
пп	ПП	100
пп1	no match	probability was too low
псз	no match	probability was too low
пав.вав.ц.1	no match	probability was too low
паис, вып	Паис.вып.	95
паис, сб	Паис.сб.	95
паис.вып	Паис.вып.	100
паис.сб	Паис.сб.	100
паис.сб.варф	no match	probability was too low
паис.сб.сл.христ	no match	probability was too low
паис.сбор	no match	probability was too low
паис.сб	Паис.сб.	100
пайс	no match	probability was too low
пайс.вып	no match	probability was too low
пайс.сб	no match	probability was too low
пайс.сб.ио.злат	no match	probability was too low
пал	no match	probability was too low
пал.xiv в	no match	probability was too low
пал.вост	no match	probability was too low
палее толк.1	no match	probability was too low
палеостр.гр	Палеостр.гр.	100
палеостр.гр	Палеостр.гр.	100
палея	Палея	100
палея ист	Палеяист.	94
палея ист.сокр	Палея ист.сокр.	100
палея толк	Палея Толк.1	95
палея толк	Палея Толк.1	95
палея толк.2	no match	probability was too low
палея толк.1	Палея Толк.1	100
палея толк.2	no match	probability was too low
палея толк.3	no match	probability was too low
палея толк1	Палея Толк.1	96
палея толк2	no match	probability was too low
палея толк2	no match	probability was too low
палея ист	Палеяист.	94
палея ист.(сокр.)	Палея ист.сокр.	97
палея ист.сокр	Палея ист.сокр.	100
палея ист.(сокр.)	Палея ист.сокр.	97
палея ист., 103	no match	probability was too low
палея ист.сокр	Палея ист.сокр.	100
палея толк.1	Палея Толк.1	100
палея,	Палея	100
палея-толк.2	no match	probability was too low
палея.толк.1	Палея Толк.1	100
палея.толк.2	no match	probability was too low
палея.толк.2	no match	probability was too low
палеятолк.2	no match	probability was too low
пам старообр	Пам.старообр.	100
пам	no match	probability was too low
пам.влад	Пам.Влад.	100
пам.модест	no match	probability was too low
пам.моск.гос	Пам.Моск.гос.	100
пам.ряз	Пам.Ряз.	100
пам.смол	Пам.Смол.	100
пам.зем.стар	Пам.зем.стар.	100
пам.наборщ	Пам.наборщ.	100
пам.обор.смол	Пам.обор.Смол.	100
пам.приказчику	no match	probability was too low
пам.ряз	Пам.Ряз.	100
пам.сиб.ист	Пам.сиб.ист. I	95
пам.старообр	Пам.старообр.	100
пам.южновеликорус.нареч	no match	probability was too low
пам.влад	Пам.Влад.	100
пам.ряз	Пам.Ряз.	100
пам.наборщ	Пам.наборщ.	100
пам.старообр	Пам.старообр.	100
панд ант	Панд.Ант.	100
панд ант.1	Панд.Ант.1	100
панд	no match	probability was too low
панд.aнт.1	no match	probability was too low
панд.ант	Панд.Ант.	100
панд.ант,1	Панд.Ант.1	100
панд.ант	Панд.Ант.	100
панд.ант.(амф.)	Панд.Ант. (Амф.)	96
панд.ант.(афм.)	no match	probability was too low
панд.ант.(б)	Панд.Ант. (Б.)	96
панд.ант.(б.)	Панд.Ант. (Б.)	96
панд.ант.хi в	no match	probability was too low
панд.ант.1	Панд.Ант.1	100
панд.ант.1,	Панд.Ант.1	100
панд.ант.1	Панд.Ант.1	100
панд.ант.2	Панд.Ант.2	100
панд.ант1	Панд.Ант.1	95
панд.ант1	Панд.Ант.1	95
панд.антг	Панд.Ант.	94
панд.ант	Панд.Ант.	100
панд.ант.1	Панд.Ант.1	100
пант.aнт.1	no match	probability was too low
пант.ант	no match	probability was too low
пант.ант.1	no match	probability was too low
пант.ев.,	no match	probability was too low
пап.д	Пап.д.	100
пар	no match	probability was too low
пар.1271 г	no match	probability was too low
пар.словарь	Пар.словарь	100
параманъ.д.патр.никона	no match	probability was too low
парем	Парем.	100
парем.1271 г	no match	probability was too low
парем.1370 г	no match	probability was too low
парем.1	Парем.1	100
парем.3	Парем.3	100
парем.4	Парем.4	100
парен	no match	probability was too low
паст.гр.патр.ант	no match	probability was too low
пат	no match	probability was too low
пат.печ	no match	probability was too low
пат.печ.(новг.)	no match	probability was too low
пат.печ.новг	no match	probability was too low
пат.печ.полик.посл	no match	probability was too low
пат.син	no match	probability was too low
пат.печ	no match	probability was too low
пат.1	no match	probability was too low
пат.печ.полик.посл	no match	probability was too low
патер	no match	probability was too low
патерик (чуд.)	Патерик (Чуд.)	100
патерик печ	Патерик Печ.	100
патерик печ.(абр.)	Патерик Печ.	95
патерик печ.(поликарп.посл.)	no match	probability was too low
патерик печ.по сп	no match	probability was too low
патерик печ.1	Патерик Печ.1	100
патерик пин	no match	probability was too low
патерик сии	no match	probability was too low
патерик сил	no match	probability was too low
патерик син	Патерик Син.	100
патерик син.	Патерик Син.	100
патерик.печ	Патерик Печ.	100
патерик.син	Патерик Син.	100
патерик.син.	Патерик Син.	100
патерйк печ	no match	probability was too low
патерник син	Патерик Син.	96
паукъ.spinne	no match	probability was too low
пах.ж.-моис., хс	no match	probability was too low
пах.ж.алексея	Пах.Ж.Алексея1	96
пах.ж.алексея 1	Пах.Ж.Алексея1	97
пах.ж.алексея1	Пах.Ж.Алексея1	100
пах.ж.алексея2	Пах.Ж.Алексея2	100
пах.ж.алексия1	no match	probability was too low
пах.ж.евф.нов	Пах.Ж.Евф.Новг.	96
пах.ж.евф.новг	Пах.Ж.Евф.Новг.	100
пах.ж.кир.б	Пах.Ж.Кир.Б.	100
пах.ж.моис	Пах.Ж.Моис.	100
пах.ж.серг.р	Пах.Ж.Серг.Р.	100
пах.ж.алексея1	Пах.Ж.Алексея1	100
пах.сл.похв.варл.хут	Пах.Сл.похв.Варл.Хут.	100
пах.сл.похв.знам	Пах.Сл.похв.знам.	100
пах.ш.евф.новг	no match	probability was too low
пах.ж.алексея2	Пах.Ж.Алексея2	100
пах.ж.алексея1	Пах.Ж.Алексея1	100
пах.ж.алексея1	Пах.Ж.Алексея1	100
пах.ж.кир.б	Пах.Ж.Кир.Б.	100
пах.ж.моис	Пах.Ж.Моис.	100
пах.ж.серг.р	Пах.Ж.Серг.Р.	100
паче же всего губить д҃шу и тѣло.о лености	no match	probability was too low
певч.азб	Певч.азб.	100
певч.азб	Певч.азб.	100
пенз.дес	Пенз.дес.	100
перевод крестьянинов.фед.крест	no match	probability was too low
передел, лет	no match	probability was too low
перен.хован	no match	probability was too low
перен.мощ.мт.петра	Перен.мощ.мт.Петра	100
переп.ал.петр	Переп.Ал.Петр.	100
переп.ан.ив	Переп.Ан.Ив.	100
переп.безобразова	Переп.Безобразова	100
переп.безобразова1	Переп.Безобразова1	100
переп.головк	Переп.Головк.	100
переп.город.пр	Переп.Город.пр.	100
переп.гр	Переп.Гр.	100
переп.гр.курб	Переп.Гр.Курб.	100
переп.мих.фед	Переп.Мих.Фед.	100
переп.одоевск	Переп.Одоевск.	100
переп.одоевского	no match	probability was too low
переп.петра с екат	Переп.Петра с Екат.	100
переп.т.вас	Переп.Т.Вас.	100
переп.хован	Переп.Хован.	100
переп.хован.	Переп.Хован.	100
переп.кн.кадаш.сл	Переп.кн.Кадаш.сл.	100
переп.росп.новг	Переп.росп.Новг.	100
переп.росп.новг	Переп.росп.Новг.	100
переп.ц.прасковьи	Переп.ц.Прасковьи	100
переп.части, лиц	no match	probability was too low
переп.частн.лиц	Переп.частн.лиц	100
переп.частных лиц	Переп.частн.лиц	94
переп.безобразова	Переп.Безобразова	100
переп.безобразова1	Переп.Безобразова1	100
переп.мих.фед	Переп.Мих.Фед.	100
переп.т.вас	Переп.Т.Вас.	100
переп.хован	Переп.Хован.	100
переясл лет	Переясл.лет.	100
переясл.лет	Переясл.лет.	100
переясл.лет	Переясл.лет.	100
переясл., лет	Переясл.лет.	95
переясл.лет	Переясл.лет.	100
переяслав.лет	no match	probability was too low
перзп.безобразова	Переп.Безобразова	94
перс, д	Перс.д.	95
перс.д	Перс.д.	100
перс.д	Перс.д.	100
персика	Персика	100
перясл.лет	Переясл.лет.	95
пес.пес	Пес.Петр.	95
пес.пес	Пес.Петр.	95
песн.песн.и	no match	probability was too low
песни квант	no match	probability was too low
песни квашн	Песни Квашн.	100
песни р.джемса	Песни Р.Джемса	100
песня на столбце	Песня на столбце	100
песня на столбце	Песня на столбце	100
петерик печ	no match	probability was too low
петлил	no match	probability was too low
петлин	Петлин	100
петр	no match	probability was too low
петр i	Петр, I	95
петр,	no match	probability was too low
петр	no match	probability was too low
петр.i	Петр, I	95
петр.злат.кл	Петр.Злат.Кл.	100
петр.а	no match	probability was too low
петр.сб	Петр.сб.	100
петр.сб	Петр.сб.	100
печ.м	no match	probability was too low
печ.пр	no match	probability was too low
пешков.лет	no match	probability was too low
пин.собр	Пин.собр.	100
пин.чел	Пин.чел.	100
пин.чел	Пин.чел.	100
пис	no match	probability was too low
пис.ал.мих	Пис.Ал.Мих.	100
пис.алекс.мих	no match	probability was too low
пис.вас.ив	Пис.Вас.Ив.	100
пис.грязного	Пис.Грязного, I	95
пис.лар	Пис.Лар.	100
пис.петра	Пис.Петра	100
пис.постникова	Пис.Постникова	100
пис.т.вас	Пис.Т.Вас.	100
пис.торокана	Пис.Торокана	100
пис.в сав.м	no match	probability was too low
пис.дворецкого	Пис.дворецкого	100
пис.к безобразову	no match	probability was too low
пис.к голицину	no match	probability was too low
пис.к голицыну	Пис. к Голицыну, VI	95
пис.к голицыну, уі	no match	probability was too low
пис.к матюшкину	Пис.к Матюшкину	100
пис.к матюшкину, предисл	no match	probability was too low
пис.к никону	Пис. к Никону	96
пис.к одоевск	Пис. к Одоевск.	96
пис.к одоевскому	no match	probability was too low
пис.к ромод	Пис. к Ромод.	96
пис.к.безобразову	no match	probability was too low
пис.к.голицыну	Пис. к Голицыну, VI	95
пис.мт.макария	Пис.мт.Макария	100
пис.натр.никона	no match	probability was too low
пис.неизв	Пис.неизв.	100
пис.о нел	Пис. о нел.	95
пис.патр.никона	Пис.патр.Никона	100
пис.подмети	no match	probability was too low
пис.подметн	Пис.подметн.	100
пис.приказчика	Пис.приказчика	100
пис.рус.купцов	Пис.рус.купцов	100
пис.самозванца	Пис.самозванца	100
пис.ц.евдокии	Пис.ц.Евдокии	100
пис.ал.мих	Пис.Ал.Мих.	100
пис.петра	Пис.Петра	100
пис.постникова	Пис.Постникова	100
пис.неизв	Пис.неизв.	100
пис.патр.никона	Пис.патр.Никона	100
пис.подметн	Пис.подметн.	100
пискар.лет	Пискар.лет.	100
пискар.лет	Пискар.лет.	100
писц.д	no match	probability was too low
писц.д.iі	no match	probability was too low
писц.кн.изв.арх	no match	probability was too low
писц.д	no match	probability was too low
писц.д.i	Писц.д. I	95
пл.кратко	no match	probability was too low
пл.иер.i, 7 (упырь)	no match	probability was too low
плат, ц.евд.лук	Плат.ц.Евд.Лук.	97
плат.ал.мих	Плат.Ал.Мих.	100
плат.бор.год	Плат.Бор.Год.	100
плат.мих.фед	Плат.Мих.Фед.	100
плат.фед.ал	Плат.Фед.Ал.	100
плат.ц.евд лук	Плат.ц.Евд.Лук.	100
плат.ц.евд.лук	Плат.ц.Евд.Лук.	100
плат.цар.соф	Плат.цар.Соф.	100
плат.ал.мих	Плат.Ал.Мих.	100
плат.мих.фед	Плат.Мих.Фед.	100
плач	Плач	100
плач юр.всев	no match	probability was too low
плач о пленении	Плач о пленении	100
плач, о пленении	Плач о пленении	97
плинфникъ: цегелникъ.лекс.берынды	no match	probability was too low
по сольство леонтьева	Посольство Леонтьева	98
по.екз.бог	no match	probability was too low
пов об акире	Пов.об Акире	100
пов.ам	Пов.Ам.	100
пов.ам., 8	no match	probability was too low
пов.ам., 9	no match	probability was too low
пов.ап.тир	Пов.Ап.Тир.	100
пов.б.г.м	Пов.Б.Г.м.	100
пов.б.г.м	Пов.Б.Г.м.	100
пов.б.-г.м	Пов.Б.Г.м.	95
пов.бор.год	Пов.Бор.Год.	100
пов.вав.ц	Пов.Вав.ц.1	95
пов.вав.ц.1	Пов.Вав.ц.1	100
пов.вав.ц.2	Пов.Вав.ц.2	100
пов.вав.ц.2	Пов.Вав.ц.2	100
пов.варл.к	Пов.Варл.К.	100
пов.вас.злат	Пов.Вас.Злат.	100
пов.ив.гр.и куп	Пов.Ив.Гр. и куп.	97
пов.карпе сутул	Пов.Карпе Сутул.	100
пов.кат-ростовского1	Пов.Кат.-Ростовского1	98
пов.кат-ростовского2	Пов.Кат.-Ростовского2	98
пов.кат.ростовского1	Пов.Кат.-Ростовского1	98
пов.кат.ростовского2	Пов.Кат.-Ростовского2	98
пов.кат.–ростовского	Пов.Кат.-Ростовского1	98
пов.кат.–ростовского1	Пов.Кат.-Ростовского1	100
пов.кат.–ростовского2	Пов.Кат.-Ростовского2	100
пов.кат.-ростовского	Пов.Кат.-Ростовского1	98
пов.кат.-ростовского 1	Пов.Кат.-Ростовского1	98
пов.кат.-ростовского1	Пов.Кат.-Ростовского1	100
пов.кат.-ростовского1	Пов.Кат.-Ростовского1	100
пов.кат.-ростовского2	Пов.Кат.-Ростовского2	100
пов.кат.ростовского	Пов.Кат.-Ростовского1	95
пов.кат.ростовского 1	Пов.Кат.-Ростовского1	95
пов.кат.ростовского1	Пов.Кат.-Ростовского1	98
пов.кат.ростовского2	Пов.Кат.-Ростовского2	98
пов.мам.побоище	Пов.Мам.побоище	100
пов.мам.побоище1	Пов.Мам.побоище1	100
пов.мам.побоище2	Пов.Мам.побоище2	100
пов.мерк.смол	Пов.Мерк.Смол.	100
пов.мерк.смол.(б.)	Пов.Мерк.Смол. (Б.)	97
пов.мерк.смол.1	Пов.Мерк.Смол.1	100
пов.мерк.смол.2	Пов.Мерк.Смол.2	100
пов.мих.пот	Пов.Мих.Пот.	100
пов.ник.зар	Пов.Ник.Зар.	100
пов.ник.зар.(лих.)	Пов.Ник.Зар. (Лих.)	97
пов.ник.зар.(лих.) 1	Пов.Ник.Зар. (Лих.)	95
пов.ник.зар.(лих.)1	Пов.Ник.Зар. (Лих.)1	97
пов.ник.зар.(лих.)1	Пов.Ник.Зар. (Лих.)1	97
пов.никол, обр	Пов.Никол.обр.	96
пов.никол.обр	Пов.Никол.обр.	100
пов.о щиле	Пов. о Щиле	95
пов.п.в февронии (скр.)	no match	probability was too low
пов.п.и февр.(скр.)	no match	probability was too low
пов.п.и февронии	Пов.П. и Февронии (Дм.)	95
пов.п.и февронии (скр.)	Пов.П. и Февронии (Скр.)	98
пов.п.и февронии.1	Пов.П. и Февронии1	94
пов.п.и февронии1	Пов.П. и Февронии1	97
пов.п.и февронии2	Пов.П. и Февронии2	97
пов.петре злат.кл	Пов.Петре Злат.Кл.	100
пов.петре злат.кл.1	Пов.Петре Злат.Кл.1	100
пов.петре орд	Пов.Петре Орд.	100
пов.петре орд.1	Пов.Петре Орд.1	100
пов.петре орд.1	Пов.Петре Орд.1	100
пов.псков.печ.м	Пов.Псков.Печ.м.	100
пов.псков.ик	Пов.псков.ик.	100
пов.псков.ик	Пов.псков.ик.	100
пов.с.шаховского	Пов.С.Шаховского	100
пов.с.шаховского	Пов.С.Шаховского	100
пов.с.шаховского	Пов.С.Шаховского	100
пов.симеона сузд.флор, соб.2	Пов.Симеона сузд.Флор.соб.2	98
пов.симеона сузд.флор.соб.1	Пов.Симеона сузд.Флор.соб.1	100
пов.симеона сузд.флор, соб.1	Пов.Симеона сузд.Флор.соб.1	98
пов.симеона сузд.флор.соб.1	Пов.Симеона сузд.Флор.соб.1	100
пов.симеона сузд.флор.соб.2	Пов.Симеона сузд.Флор.соб.2	100
пов.скоп.–шуйском	Пов.Скоп.-Шуйском	100
пов.скоп.-шуйском	Пов.Скоп.-Шуйском	100
пов.тим	Пов.Тим.	100
пов.тим.влад	Пов.Тим.Влад.	100
пов.тим.влад.1	Пов.Тим.Влад.1	100
пов.тим.влад1	Пов.Тим.Влад.	96
пов.ульян.мур	Пов.Ульян.Мур.	100
пов.ульян.о сор	Пов.Ульян.Осор.	97
пов.ульян.осор	Пов.Ульян.Осор.	100
пов.ульян.осор.1	Пов.Ульян.Осор.1	100
пов.ульян.осор1	Пов.Ульян.Осор.	97
пов.хворостинина	Пов.Хворостинина	100
пов.бел.кл	no match	probability was too low
пов.бел.клоб	Пов.бел.клоб.	100
пов.врем.лет	no match	probability was too low
пов.избавл.уст	Пов.избавл.Уст.	100
пов.избавл.уст	Пов.избавл.Уст.	100
пов.исков.ик	no match	probability was too low
пов.како отомсти	no match	probability was too low
пов.конч.ц.мих	Пов.конч.ц.Мих.	100
пов.конч.ц.мих	Пов.конч.ц.Мих.	100
пов.напад.татар	Пов.напад.татар	100
пов.напад.татар,	Пов.напад.татар	100
пов.напад.татар	Пов.напад.татар	100
пов.напад.татар1	Пов.напад.татар1	100
пов.новг.сузд	Пов.новг.сузд.	100
пов.о акире	Пов.об Акире	96
пов.о басарге 1	no match	probability was too low
пов.о басарге 2	no match	probability was too low
пов.о басарге1	Пов. о Басарге1	97
пов.о басарге2	Пов. о Басарге2	97
пов.о басарге3	Пов. о Басарге3	97
пов.о дариане	Пов. о Дариане	96
пов.о дарьграде	no match	probability was too low
пов.о дмитрии римском	Пов. о Дмитрии Римском	98
пов.о дмитрии римском	Пов. о Дмитрии Римском	98
пов.о дракуле	Пов. о Дракуле	96
пов.о дракуле1	Пов. о Дракуле1	97
пов.о дракуле2	Пов. о Дракуле2	97
пов.о дракуле3	Пов. о Дракуле3	97
пов.о иак.сбор	no match	probability was too low
пов.о иване пономаревиче	Пов. о Иване Пономаревиче	98
пов.о кулик.битве	Пов. о Кулик.битве	97
пов.о луке кол	Пов. о Луке Кол.	97
пов.о скан дербеге	Пов. о Скандербеге	94
пов.о скандеберге	no match	probability was too low
пов.о скандербеге	Пов. о Скандербеге	97
пов.о скандерберге	Пов. о Скандербеге	94
пов.о соломоне	no match	probability was too low
пов.о соломоне 2	Пов. о Соломоне2	94
пов.о соломоне1	Пов. о Соломоне1	97
пов.о соломоне2	Пов. о Соломоне2	97
пов.о сух	Пов. о Сух.	95
пов.о сухане	no match	probability was too low
пов.о фоме	Пов. о Фоме	95
пов.о царыраде	no match	probability was too low
пов.о царьграде	Пов.о Царьграде	100
пов.о царьградѣ	no match	probability was too low
пов.о шиле	no match	probability was too low
пов.о щиле	Пов. о Щиле	95
пов.о щиле1	Пов. о Щиле1	96
пов.о видении	Пов. о видении	96
пов.о видении варл	Пов. о видении Варл.	97
пов.о видении нек	Пов. о видении нек.	97
пов.о втор.бр.вас.iii	Пов. о втор.бр.Вас.III	98
пов.о втор.бр.вас.ііі	no match	probability was too low
пов.о втор.бр.вас.iii	Пов. о втор.бр.Вас.III	98
пов.о крест, сыне	Пов. о крест.сыне	95
пов.о крест.сыне	Пов. о крест.сыне	97
пов.о крест.сыне1	Пов. о крест.сыне	94
пов.о куп.григ	Пов. о куп.Григ.	97
пов.о куп.григ	Пов. о куп.Григ.	97
пов.о начале москвы1	Пов. о начале Москвы1	98
пов.о начале москвы2	Пов. о начале Москвы2	98
пов.о нек.брани	Пов. о нек.брани	97
пов.о нек.брани1	Пов. о нек.брани1	97
пов.о папе григ	Пов. о папе Григ.	97
пов.о разор.торжка	Пов. о разор.Торжка	97
пов.о разор.торжка	Пов. о разор.Торжка	97
пов.о разуме	Пов. о разуме	96
пов.о сверж.никит.ц	no match	probability was too low
пов.о сверш.никит, ц	Пов. о сверш.Никит.ц.	95
пов.о сверш.никит.ц	Пов. о сверш.Никит.ц.	97
пов.о сверш.никит.ц„	Пов. о сверш.Никит.ц.	97
пов.о суде шемяки	Пов.суде Шемяки	95
пов.о табаке	Пов. о табаке	96
пов.о царе аггее	Пов. о царе Аггее	97
пов.о.скандербеге	Пов. о Скандербеге	97
пов.об акире	Пов.об Акире	100
пов.об акире (к.)	Пов. об Акире (К.)	97
пов.об икон	no match	probability was too low
пов.об осаде пск	Пов. об осаде Пск.	97
пов.об.акире	Пов.об Акире	100
пов.об.изб.устюга	Пов. об изб.Устюга	97
пов.обакире	Пов.об Акире	96
пов.п.кн	no match	probability was too low
пов.пр.иеремии	Пов.пр.Иеремии	100
пов.прихож.на псков	Пов.прихож. на Псков	97
пов.прихож.на псков 2	Пов.прихож. на Псков	95
пов.прихож.на псков	Пов.прихож. на Псков	97
пов.прихож.на псков.1	Пов.прихож. на Псков	95
пов.прихож.на псков.2	Пов.прихож. на Псков	95
пов.прихож.на псков1	Пов.прихож. на Псков1	98
пов.прихож.на псков2	Пов.прихож. на Псков2	98
пов.псков.ик	Пов.псков.ик.	100
пов.св.о	no match	probability was too low
пов.суде шемяки	Пов.суде Шемяки	100
пов.убиен.батыя	Пов.убиен.Батыя	100
пов.убиен.ц	Пов.убиен.ц.Дм.	95
пов.убиен.ц.дм	Пов.убиен.ц.Дм.	100
пов.ц.дин	Пов.ц.Дин.1	95
пов.ц.дин.1	Пов.ц.Дин.1	100
пов.ц.дин.2	Пов.ц.Дин.2	100
пов.ц.дин.2,	Пов.ц.Дин.2	100
пов.ам	Пов.Ам.	100
пов.ап.тир	Пов.Ап.Тир.	100
пов.вав.ц.1	Пов.Вав.ц.1	100
пов.вав.ц.2	Пов.Вав.ц.2	100
пов.ив.гр.и куп	Пов.Ив.Гр. и куп.	97
пов.карпе сутул	Пов.Карпе Сутул.	100
пов.кат.–ростовского	Пов.Кат.-Ростовского1	98
пов.кат.–ростовского1	Пов.Кат.-Ростовского1	100
пов.кат.-ростовского1	Пов.Кат.-Ростовского1	100
пов.кат.ростовского1	Пов.Кат.-Ростовского1	98
пов.мам.побоище	Пов.Мам.побоище	100
пов.мам.побоище1	Пов.Мам.побоище1	100
пов.мам.побоище1	Пов.Мам.побоище1	100
пов.мерк.смол.(б.)	Пов.Мерк.Смол. (Б.)	97
пов.мих.пот	Пов.Мих.Пот.	100
пов.ник.зар.(лих.)1	Пов.Ник.Зар. (Лих.)1	97
пов.ник.зар.(лих.)1	Пов.Ник.Зар. (Лих.)1	97
пов.ник.зар.лих.)1	Пов.Ник.Зар. (Лих.)	95
пов.никол.обр	Пов.Никол.обр.	100
пов.п.и февронии	Пов.П. и Февронии (Дм.)	95
пов.п.и февронии (скр.)	Пов.П. и Февронии (Скр.)	98
пов.петре злат.кл.1	Пов.Петре Злат.Кл.1	100
пов.петре орд.1	Пов.Петре Орд.1	100
пов.псков.-печ.м	Пов.Псков.Печ.м.	97
пов.с.шаховского	Пов.С.Шаховского	100
пов.симеона сузд.флор.соб.1	Пов.Симеона сузд.Флор.соб.1	100
пов.тим.влад.1	Пов.Тим.Влад.1	100
пов.ульян.осор	Пов.Ульян.Осор.	100
пов.ульян.мур	Пов.Ульян.Мур.	100
пов.ульян.осор	Пов.Ульян.Осор.	100
пов.ульян.осор.1	Пов.Ульян.Осор.1	100
пов.бел.клоб	Пов.бел.клоб.	100
пов.избавл.уст	Пов.избавл.Уст.	100
пов.конч.ц.мих	Пов.конч.ц.Мих.	100
пов.напад.татар	Пов.напад.татар	100
пов.напад.татар	Пов.напад.татар	100
пов.напад.татар	Пов.напад.татар	100
пов.о скандербеге	Пов. о Скандербеге	97
пов.о фоме	Пов. о Фоме	95
пов.о царьграде	Пов.о Царьграде	100
пов.о начале москвы2	Пов. о начале Москвы2	98
пов.о папе григ	Пов. о папе Григ.	97
пов.о сверш.никит.ц	Пов. о сверш.Никит.ц.	97
пов.прихож.на псков	Пов.прихож. на Псков	97
пов.прихож.на псков.2	Пов.прихож. на Псков	95
пов.прихож.на псков1	Пов.прихож. на Псков1	98
пов.прихож.на псков2	Пов.прихож. на Псков2	98
пов.прихож.на псков1	Пов.прихож. на Псков1	98
пов.прихож.на псков2	Пов.прихож. на Псков2	98
пов.убиен.батыя	Пов.убиен.Батыя	100
пов.убиен.ц.дм	Пов.убиен.ц.Дм.	100
пов· кат.-ростовского1	Пов.Кат.-Ростовского1	98
погр.мон	no match	probability was too low
погреб.мон	no match	probability was too low
подарки патр.царю	Подарки патр.царю	100
подарки патр.царю	Подарки патр.царю	100
подлинник ик	Подлинник ик.	100
подлинник новг	Подлинник новг.	100
подлинниу ик	no match	probability was too low
подлиннник ик	Подлинник ик.	96
подложн.гр	Подложн.гр.	100
подложн.пис	Подложн.пис.	100
подпись на иконе корсун.бож.матери	no match	probability was too low
подряд.зап.новг	Подряд.зап.новг.	100
подтвер.грам	no match	probability was too low
показ.неелова	no match	probability was too low
показ.инок	Показ.инок.	100
показ.инок	Показ.инок.	100
покаяние дениса	no match	probability was too low
покл	Покл.	100
пол.блуд.с	Сим.Пол.Блуд.с.	95
полик.посл	no match	probability was too low
полик.посл.(пат.печ	no match	probability was too low
полик.посл., сп	no match	probability was too low
поликарп.ев	Поликарп.ев.	100
полмѣха рогожного грибовъ.оп.им.самойл	no match	probability was too low
полон.иерус.3	no match	probability was too low
полон.гр	no match	probability was too low
полон.иерус	no match	probability was too low
полоц.гр	Полоц.гр.	100
полоцк.гр	Полоц.гр.	94
польск д	Польск.д. I	95
польск	no match	probability was too low
польск.д	Польск.д. I	95
польск.д.i	Польск.д. I	95
польск.д.iii	Польск.д. III	96
польск.д.ііі	no match	probability was too low
польск.д	Польск.д. I	95
пом.меф	no match	probability was too low
пом.меф	no match	probability was too low
помест.д	Поместн.д.	94
поместн.д	Поместн.д.	100
пон	no match	probability was too low
пон	no match	probability was too low
поосольство тюфякина	Посольство Тюфякина	97
попѣвки перваго гласу...с перехватом грунка.азбука злам.5	no match	probability was too low
пор.зап.водск.пят	Пор.зап.Водск.пят.	100
пор.зап.шелон.пят	Пор.зап.Шелонск.пят.	94
пор.зап.шелонск.пят	Пор.зап.Шелонск.пят.	100
поруб.д	Поруб.д.	100
поруб.д	Поруб.д.	100
посильство толочанова	Посольство Толочанова	95
посков.лет	no match	probability was too low
посл, к ив.гр	Посл. к Ив.Гр.	100
посл, о хабува	no match	probability was too low
посл.бегичева	Посл.Бегичева	100
посл.дм.герасимова	Посл.Дм.Герасимова	100
посл.епиф	Посл.Епиф.	100
посл.епифания	Посл.Епифания	100
посл.ермолича	Посл.Ермолича	100
посл.ив.гр	Посл.Ив.Гр.	100
посл.ив.гр.i	Ив.Гр.Посл.	95
посл.иер.(упыр.)	no match	probability was too low
посл.иоас	no match	probability was too low
посл.иос.вол	Иос.Вол.Посл.	95
посл.карпатова мт.дан	Посл.Карпова мт.Дан.	95
посл.карпова	no match	probability was too low
посл.карпова м.гр	Посл.Карпова М.Гр. I	95
посл.карпова филоф.	Посл.Карпова Филоф.	100
посл.карпова мт.дан	Посл.Карпова мт.Дан.	100
посл.карпова мт.дан	Посл.Карпова мт.Дан.	100
посл.карпова мт.дон	Посл.Карпова мт.Дан.	95
посл.климента	Посл.Климента	100
посл.корнилин	no match	probability was too low
посл.корнилия	Посл.Корнилия	100
посл.кут	no match	probability was too low
посл.льва	Посл.Льва	100
посл.льва	Посл.Льва	100
